;;;;;;;
79;1.01.02.2.01.0003;Pembangunan Ruang Guru/Kepala Sekolah/TU;1;1;2;9;T
80;1.01.02.2.01.0004;Pembangunan Ruang Unit Kesehatan Sekolah;1;1;2;9;T
81;1.01.02.2.01.0005;Pembangunan Perpustakaan Sekolah;1;1;2;9;T
82;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;1;1;2;9;T
83;1.01.02.2.01.0007;Pembangunan Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah;1;1;2;9;T
84;1.01.02.2.01.0009;Rehabilitasi Sedang/Berat Ruang Guru/Kepala Sekolah/TU;1;1;2;9;T
85;1.01.02.2.01.0010;Rehabilitasi Sedang/Berat Ruang Unit Kesehatan Sekolah;1;1;2;9;T
86;1.01.02.2.01.0011;Rehabilitasi Sedang/Berat Perpustakaan Sekolah;1;1;2;9;T
87;1.01.02.2.01.0013;Rehabilitasi Sedang/Berat Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah;1;1;2;9;T
88;1.01.02.2.01.0014;Pengadaan Mebel Sekolah;1;1;2;9;T
89;1.01.02.2.01.0015;Pengadaan Alat Rumah Tangga Sekolah;1;1;2;9;T
90;1.01.02.2.01.0016;Pengadaan Perlengkapan Sekolah;1;1;2;9;T
91;1.01.02.2.01.0019;Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah;1;1;2;9;T
92;1.01.02.2.01.0025;Pembinaan Minat, Bakat dan Kreativitas Siswa;1;1;2;9;T
93;1.01.02.2.01.0027;Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan Sekolah Dasar;1;1;2;9;T
94;1.01.02.2.01.0028;Pembinaan Kelembagaan dan Manajemen Sekolah;1;1;2;9;T
95;1.01.02.2.01.0029;Pengelolaan Dana BOS Sekolah Dasar;1;1;2;9;T
96;1.01.02.2.01.0030;Peningkatan Kapasitas Pengelolaan Dana BOS Sekolah Dasar;1;1;2;9;T
97;1.01.02.2.01.0031;Pembangunan Laboratorium Sekolah Dasar;1;1;2;9;T
98;1.01.02.2.01.0032;Rehabilitasi Sedang/Berat Laboratorium Sekolah Dasar;1;1;2;9;T
99;1.01.02.2.01.0033;Pemeliharaan Mebel Sekolah;1;1;2;9;T
100;1.01.02.2.01.0035;Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan;1;1;2;9;T
101;1.01.02.2.01.0036;Pengembangan konten digital untuk pendidikan;1;1;2;9;T
102;1.01.02.2.01.0037;Pelatihan Penggunaan Aplikasi Bidang Pendidikan;1;1;2;9;T
103;1.01.02.2.01.0038;Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan;1;1;2;9;T
104;1.01.02.2.01.0039;Sosialisasi dan Advokasi Kebijakan Bidang Pendidikan;1;1;2;9;T
105;1.01.02.2.01.0041;Fasilitasi Komunitas Belajar Pendidik dan Tenaga Kependidikan;1;1;2;9;T
106;1.01.02.2.01.0042;Penyediaan infrastruktur TIK;1;1;2;9;T
107;1.01.02.2.01.0043;Pemberian layanan pendampingan bagi satuan pendidikan untuk pencegahan perundungan, kekerasan, dan intoleransi;1;1;2;9;T
108;1.01.02.2.01.0044;Penataan Ruang/Sudut Baca;1;1;2;9;T
109;1.01.02.2.01.0045;Perlengkapan Dasar Buku Teks dan Non Teks Peserta Didik;1;1;2;9;T
110;1.01.02.2.01.0046;Pengadaan Perlengkapan Peserta Didik;1;1;2;9;T
111;1.01.02.2.01.0047;Pembangunan Ruang Kelas Baru;1;1;2;9;T
112;1.01.02.2.01.0049;Bimbingan Teknis, Pelatihan, dan/atau Magang/PKL untuk Peningkatan Kapasitas Bidang Pendidikan;1;1;2;9;T
113;1.01.02.2.01.0050;Penyelenggaraan Proses Belajar Bagi Peserta Didik;1;1;2;9;T
114;1.01.02.2.01.0051;Rehabilitasi Sedang/Berat Ruang Kelas Sekolah;1;1;2;9;T
115;1.01.02.2.01.0054;Penyediaan Biaya Personil Peserta Didik Sekolah Dasar;1;1;2;9;T
