;;;;;;
121;2.07.05.2.02;Pencegahan dan Penyelesaian Perselisihan Hubungan Industrial, Mogok Kerja dan Penutupan Perusahaan di Daerah Kabupaten/Kota;2;7;40;T
122;2.08.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;8;41;T
123;2.08.01.2.02;Administrasi Keuangan Perangkat Daerah;2;8;41;T
124;2.08.01.2.05;Administrasi Kepegawaian Perangkat Daerah;2;8;41;T
125;2.08.01.2.06;Administrasi Umum Perangkat Daerah;2;8;41;T
126;2.08.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;8;41;T
127;2.08.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;8;41;T
128;2.08.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;8;41;T
129;2.08.02.2.01;Pelembagaan Pengarusutamaan Gender (PUG) pada Lembaga Pemerintah Kewenangan Kabupaten/Kota;2;8;42;T
130;2.08.02.2.02;Pemberdayaan Perempuan Bidang Politik, Hukum, Sosial, dan Ekonomi pada Organisasi Kemasyarakatan Kewenangan Kabupaten/Kota;2;8;42;T
131;2.08.02.2.03;Penguatan dan Pengembangan Lembaga Penyedia Layanan Pemberdayaan Perempuan Kewenangan Kabupaten/Kota;2;8;42;T
132;2.08.03.2.01;Pencegahan Kekerasan terhadap Perempuan Lingkup Daerah Kabupaten/Kota;2;8;43;T
133;2.08.03.2.02;Penyediaan Layanan Rujukan Lanjutan bagi Perempuan Korban Kekerasan yang Memerlukan Koordinasi Kewenangan Kabupaten/Kota;2;8;43;T
134;2.08.03.2.03;Penguatan dan Pengembangan Lembaga Penyedia Layanan Perlindungan Perempuan Tingkat Daerah Kabupaten/Kota;2;8;43;T
135;2.08.04.2.02;Penguatan dan Pengembangan Lembaga Penyedia Layanan Peningkatan Kualitas Keluarga dalam Mewujudkan KG dan Hak Anak yang Wilayah Kerjanya dalam Daerah Kabupaten/Kota;2;8;44;T
136;2.08.05.2.01;Pengumpulan, Pengolahan Analisis dan Penyajian Data Gender dan Anak Dalam Kelembagaan Data di Tingkat Daerah Kabupaten/Kota;2;8;45;T
137;2.08.06.2.01;Pelembagaan PHA pada Lembaga Pemerintah, Nonpemerintah, dan Dunia Usaha Kewenangan Kabupaten/Kota;2;8;46;T
138;2.08.06.2.02;Penguatan dan Pengembangan Lembaga Penyedia Layanan Peningkatan Kualitas Hidup Anak Kewenangan Kabupaten/Kota;2;8;46;T
139;2.08.07.2.01;Pencegahan Kekerasan Terhadap Anak yang Melibatkan para Pihak Lingkup Daerah Kabupaten/Kota;2;8;47;T
140;2.08.07.2.02;Penyediaan Layanan bagi Anak yang Memerlukan Perlindungan Khusus yang Memerlukan Koordinasi Tingkat Daerah Kabupaten/Kota;2;8;47;T
141;2.08.07.2.03;Penguatan dan Pengembangan Lembaga Penyedia Layanan bagi Anak yang Memerlukan Perlindungan Khusus Tingkat Daerah Kabupaten/Kota;2;8;47;T
142;2.09.00.01.2.0010;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;9;48;T
143;2.09.00.01.2.0012;Administrasi Keuangan Perangkat Daerah;2;9;48;T
144;2.09.00.01.2.0015;Administrasi Kepegawaian Perangkat Daerah;2;9;48;T
145;2.09.00.01.2.0016;Administrasi Umum Perangkat Daerah;2;9;48;T
146;2.09.00.01.2.0017;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;9;48;T
147;2.09.00.01.2.0018;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;9;48;T
148;2.09.00.01.2.0019;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;9;48;T
149;2.09.00.02.2.005510;Penyediaan Infrastruktur dan Seluruh Pendukung Kemandirian Pangan sesuai Kewenangan Daerah Kabupaten/Kota;2;9;49;T
150;2.09.00.03.2.005511;Penyediaan Dan Penyaluran Pangan Pokok Atau Pangan Lainnya Sesuai Dengan Kebutuhan Daerah Kabupaten/Kota Dalam Rangka Stabilisasi Pasokan Dan Harga Pangan;2;9;49;T
151;2.09.00.03.2.005512;Pengelolaan dan Keseimbangan Cadangan Pangan Kabupaten/Kota;2;9;50;T
